"Rk","School","Conf","X.","W","L","Pts","Opp","MOV","X..1","SOS","X..2","OSRS","DSRS","SRS","ORtg","DRtg","NRtg"
"110","Indiana State","MVC","","20","14","66.3","64.5","1.79","","2.90","","-0.19","3.60","3.41","101.36","94.27","7.09"
"111","Mississippi State","SEC (West)","","17","14","69.8","70.2","-0.39","","3.77","","3.63","-0.25","3.38","106.24","100.04","6.20"
"112","Rhode Island","A-10","","20","14","68.1","66.7","1.44","","1.90","","0.95","2.39","3.34","102.59","96.66","5.93"
"113","Wright State","Horizon","","19","14","64.3","61.7","2.67","","1.45","","-3.69","6.92","3.22","103.84","97.26","6.58"
"114","South Dakota State","Summit","","19","12","81.7","73.7","8.00","","-4.04","","9.86","-6.76","3.10","113.29","107.32","5.97"
"115","Santa Clara","WCC","","24","14","73.9","70.8","3.16","","1.25","","4.89","-1.83","3.06","106.57","100.86","5.71"
"116","Fairfield","MAAC","","25","8","65.2","58.3","6.85","","-3.91","","-4.40","7.33","2.94","96.50","90.83","5.67"
"117","James Madison","CAA","","21","12","71.4","68.4","2.97","","-0.03","","4.08","-1.14","2.94","106.17","100.48","5.69"
"118","Buffalo","MAC (East)","","20","14","70.6","64.6","5.94","","-2.22","","0.29","2.64","2.93","102.79","97.49","5.30"
"119","Saint Louis","A-10","","12","19","63.0","62.4","0.65","","3.06","","-4.91","7.74","2.83","97.86","92.68","5.18"
"120","Morehead State","OVC","","25","10","68.9","61.8","7.14","","-3.13","","-1.68","4.49","2.81","102.47","97.35","5.12"
"121","Air Force","MWC","","16","16","64.8","65.1","-0.25","","3.31","","-1.94","4.65","2.71","106.44","101.45","5.00"
"122","Utah","MWC","","13","18","67.0","70.2","-3.19","","6.56","","2.25","0.21","2.46","102.00","97.13","4.87"
"123","Bucknell","Patriot","","25","9","70.2","63.9","6.26","","-3.87","","-1.02","3.42","2.39","101.70","97.00","4.70"
"124","Coastal Carolina","Big South","","28","6","76.4","64.1","12.32","","-5.15","","1.70","0.65","2.35","103.35","99.22","4.12"
"125","Long Island University","NEC","","27","6","82.7","74.7","8.00","","-5.77","","11.47","-9.24","2.23","105.15","101.96","3.19"
"126","Montana","Big Sky","","21","11","67.2","60.9","6.28","","-2.47","","-4.18","6.34","2.17","100.12","95.19","4.94"
"127","Akron","MAC (East)","","23","13","70.1","65.7","4.42","","-1.02","","0.77","1.37","2.15","101.24","96.90","4.35"
"128","New Mexico State","WAC","","16","17","71.6","70.2","1.45","","2.66","","3.66","-1.55","2.11","103.90","99.83","4.07"
"129","East Tennessee State","A-Sun","","24","12","69.9","64.4","5.42","","-2.12","","-1.41","3.49","2.08","101.67","97.34","4.33"
"130","Detroit Mercy","Horizon","","17","16","74.5","72.6","1.88","","0.91","","6.77","-4.89","1.88","104.42","100.94","3.48"
"131","San Francisco","WCC","","19","15","70.1","70.6","-0.50","","3.06","","1.55","0.23","1.78","101.11","97.73","3.39"
"132","Loyola (IL)","Horizon","","16","15","69.5","66.6","2.84","","-1.10","","0.60","1.13","1.73","104.24","100.02","4.22"
"133","East Carolina","CUSA","","18","16","68.2","67.3","0.91","","2.99","","0.93","0.74","1.67","103.69","100.03","3.66"
"134","Rice","CUSA","","14","18","67.1","67.2","-0.03","","2.67","","-0.18","1.85","1.67","104.26","100.64","3.62"
"135","Rider","MAAC","","23","11","73.1","68.8","4.29","","-2.67","","4.27","-2.65","1.62","104.24","101.08","3.16"
"136","Oregon State","Pac-10","","11","20","69.3","72.8","-3.52","","5.03","","3.30","-1.79","1.51","102.44","99.00","3.45"
"137","Milwaukee","Horizon","","19","14","68.7","69.7","-1.03","","2.51","","1.29","0.19","1.48","102.82","99.88","2.94"
"138","Northern Colorado","Big Sky","","21","11","71.5","65.8","5.69","","-2.24","","1.69","-0.30","1.39","102.99","99.44","3.55"
"139","St. Bonaventure","A-10","","16","15","69.5","70.0","-0.42","","1.73","","1.79","-0.48","1.31","104.11","101.08","3.02"
"140","UC-Santa Barbara","Big West","","18","14","67.8","65.8","2.03","","0.12","","-1.32","2.53","1.22","101.63","98.71","2.93"
"141","Southern Methodist","CUSA","","20","15","64.6","61.3","3.29","","-0.39","","-4.93","5.97","1.04","103.68","100.60","3.08"
"142","Texas Christian","MWC","","11","22","67.3","70.2","-2.97","","3.93","","0.71","0.26","0.96","102.09","99.93","2.16"
"143","Oral Roberts","Summit","","19","16","74.7","72.7","2.03","","-1.17","","4.30","-3.44","0.86","106.97","104.36","2.61"
"144","Pacific","Big West","","16","15","65.7","62.7","3.00","","-0.88","","-4.87","5.62","0.75","102.90","100.40","2.50"
"145","Northern Arizona","Big Sky","","19","13","71.8","64.9","6.91","","-3.72","","0.64","-0.02","0.62","102.70","100.21","2.50"
"146","Ohio","MAC (East)","","19","16","74.4","72.8","1.60","","-1.01","","6.01","-5.42","0.59","104.19","102.18","2.01"
"147","Hawaii","WAC","","19","13","69.3","67.2","2.03","","-0.87","","-0.21","0.72","0.51","99.62","97.57","2.05"
"148","Murray State","OVC","","23","9","68.6","61.8","6.72","","-4.85","","-3.67","4.12","0.45","102.09","100.07","2.02"
"149","IUPUI","Summit","","19","14","71.6","69.2","2.48","","-0.84","","-0.20","0.59","0.39","108.32","106.35","1.97"
"150","Nevada","WAC","","13","19","70.2","71.2","-1.06","","1.88","","2.05","-1.71","0.34","101.98","100.47","1.51"
"151","Idaho","WAC","","18","14","67.9","66.7","1.19","","-0.64","","-1.39","1.59","0.20","103.09","100.86","2.23"
"152","Vermont","AEC","","23","9","67.1","61.6","5.47","","-5.33","","-2.35","2.49","0.14","99.27","97.50","1.77"
"153","Hofstra","CAA","","21","12","70.8","69.7","1.06","","0.13","","2.43","-2.46","-0.03","105.39","104.06","1.33"
"154","La Salle","A-10","","15","18","76.8","78.6","-1.79","","1.70","","9.73","-9.81","-0.08","104.51","103.38","1.13"
"155","George Washington","A-10","","17","14","64.9","65.3","-0.45","","0.36","","-3.45","3.35","-0.10","99.82","99.26","0.56"
"156","Austin Peay","OVC","","20","14","73.8","67.0","6.79","","-3.77","","1.56","-1.71","-0.15","100.45","99.44","1.01"
"157","Green Bay","Horizon","","14","18","67.3","68.4","-1.09","","2.18","","-0.13","-0.08","-0.21","102.27","101.36","0.91"
"158","Fresno State","WAC","","14","17","67.6","67.4","0.23","","0.58","","-1.33","1.08","-0.25","99.95","99.57","0.38"
"159","Saint Peter's","MAAC","","20","14","60.9","60.1","0.79","","-1.08","","-8.05","7.77","-0.28","91.60","91.36","0.24"
"160","Tulane","CUSA","","13","17","68.6","65.8","2.73","","-0.68","","-1.12","0.84","-0.28","101.33","101.04","0.29"
"161","Evansville","MVC","","16","16","66.3","67.1","-0.78","","1.80","","-0.72","0.42","-0.30","101.14","100.25","0.90"
"162","Furman","Southern (South)","","22","11","68.8","64.4","4.45","","-3.65","","-2.43","2.07","-0.36","102.67","101.90","0.76"
"163","Davidson","Southern (South)","","18","15","72.5","68.7","3.82","","-2.17","","1.29","-1.68","-0.39","101.95","100.73","1.22"
"164","North Carolina-Asheville","Big South","","20","14","73.7","68.6","5.09","","-2.89","","1.73","-2.42","-0.69","98.38","98.07","0.31"
"165","Ball State","MAC (West)","","19","13","67.6","64.0","3.59","","-3.40","","-2.22","1.52","-0.70","101.49","101.39","0.10"
"166","Western Michigan","MAC (West)","","21","13","71.8","68.3","3.50","","-2.52","","1.59","-2.29","-0.70","101.89","101.80","0.09"
"167","Massachusetts","A-10","","15","15","66.3","68.0","-1.70","","1.93","","-2.18","1.41","-0.76","96.43","95.73","0.70"
"168","Robert Morris","NEC","","18","14","67.3","65.5","1.81","","-2.61","","-3.17","2.37","-0.80","98.96","98.64","0.31"
"169","Lipscomb","A-Sun","","17","13","76.2","73.8","2.47","","-2.65","","5.61","-6.57","-0.96","103.94","104.10","-0.17"
"170","DePaul","Big East","","7","24","67.9","76.7","-8.84","","7.53","","3.78","-5.09","-1.31","102.49","103.19","-0.69"
"171","Jacksonville","A-Sun","","20","12","68.0","65.4","2.56","","-3.68","","-1.99","0.57","-1.42","95.47","96.46","-0.99"
"172","North Texas","Sun Belt (West)","","22","11","76.2","71.5","4.79","","-5.07","","4.61","-6.10","-1.49","106.04","106.75","-0.72"
"173","Bradley","MVC","","12","20","64.9","67.6","-2.75","","1.67","","-1.69","0.16","-1.52","100.08","101.16","-1.08"
"174","North Dakota State","Summit","","14","15","75.4","71.1","4.34","","-3.50","","2.60","-4.13","-1.54","102.31","102.80","-0.49"
"175","San Jose State","WAC","","17","16","72.5","72.9","-0.42","","-0.08","","3.25","-4.79","-1.54","102.34","103.20","-0.86"
"176","Miami (OH)","MAC (East)","","16","17","66.4","70.3","-3.91","","3.04","","-0.88","-0.70","-1.58","102.18","104.01","-1.83"
"177","Weber State","Big Sky","","18","14","70.1","67.0","3.09","","-1.74","","-1.34","-0.30","-1.64","102.46","103.27","-0.80"
"178","Saint Joseph's","A-10","","11","22","64.5","69.7","-5.21","","3.46","","-1.36","-0.39","-1.75","103.54","104.89","-1.35"
"179","Cal Poly","Big West","","15","15","59.3","58.9","0.43","","-2.39","","-11.08","9.24","-1.84","94.76","95.98","-1.22"
"180","Central Connecticut State","NEC","","19","12","70.0","66.0","4.03","","-5.97","","-1.75","-0.19","-1.94","97.48","99.38","-1.90"
"181","Quinnipiac","NEC","","22","10","71.7","67.4","4.31","","-6.39","","0.81","-2.88","-2.08","100.63","102.31","-1.69"
"182","Louisiana State","SEC (West)","","11","21","62.2","66.6","-4.34","","2.26","","-5.18","3.10","-2.09","94.63","96.40","-1.78"
"183","IPFW","Summit","","18","12","74.3","70.1","4.23","","-5.17","","0.28","-2.45","-2.17","102.72","104.56","-1.84"
"184","Sam Houston State","Southland (West)","","18","13","69.7","66.1","3.61","","-3.90","","-1.03","-1.35","-2.38","101.30","102.89","-1.59"
"185","Florida Atlantic","Sun Belt (East)","","21","11","68.5","66.8","1.69","","-2.61","","-3.82","1.41","-2.41","99.48","101.95","-2.47"
"186","Southern Illinois","MVC","","13","19","61.0","65.0","-3.94","","1.48","","-5.90","3.44","-2.46","96.09","98.24","-2.15"
"187","Auburn","SEC (West)","","11","20","62.4","66.2","-3.81","","2.40","","-4.10","1.63","-2.47","95.92","98.52","-2.61"
"188","Boston University","AEC","","21","14","64.9","63.5","1.37","","-3.85","","-3.87","1.39","-2.48","99.61","101.54","-1.93"
"189","Charlotte","A-10","","10","20","66.6","71.0","-4.43","","1.89","","-0.22","-2.32","-2.54","99.63","102.18","-2.55"
"190","Drake","MVC","","13","18","64.4","67.7","-3.32","","0.76","","-2.69","0.13","-2.56","99.55","101.91","-2.35"
"191","Northeastern","CAA","","11","20","66.6","70.4","-3.84","","1.17","","-0.11","-2.57","-2.67","106.01","109.24","-3.23"
"192","Houston","CUSA","","12","18","68.7","69.7","-1.03","","0.55","","0.23","-2.94","-2.71","100.13","103.01","-2.89"
"193","Middle Tennessee","Sun Belt (East)","","16","16","69.3","66.3","3.03","","-4.45","","-2.65","-0.09","-2.74","96.28","98.71","-2.43"
"194","Loyola Marymount","WCC","","11","21","70.8","72.3","-1.47","","0.27","","0.50","-3.30","-2.79","99.34","101.73","-2.40"
"195","Yale","Ivy","","15","13","68.1","67.3","0.82","","-2.72","","-2.62","-0.29","-2.91","96.83","100.10","-3.28"
"196","Canisius","MAAC","","15","15","68.1","67.5","0.63","","-3.55","","-2.40","-0.52","-2.92","99.51","102.05","-2.54"
"197","Pennsylvania","Ivy","","13","15","66.7","68.1","-1.36","","-1.64","","-2.73","-0.26","-2.99","99.83","103.15","-3.33"
"198","American","Patriot","","22","9","66.2","63.6","2.52","","-5.64","","-5.70","2.57","-3.13","100.43","103.58","-3.16"
"199","Wyoming","MWC","","10","21","65.9","69.7","-3.77","","3.53","","-2.64","-0.52","-3.16","98.25","101.50","-3.24"
"200","Loyola (MD)","MAAC","","15","15","67.4","67.0","0.40","","-3.68","","-1.39","-1.89","-3.28","100.44","103.66","-3.21"
"201","Stephen F. Austin","Southland (West)","","18","11","66.4","56.7","9.76","","-7.73","","-11.08","7.79","-3.29","94.59","97.72","-3.13"
"202","Illinois State","MVC","","12","19","61.1","63.8","-2.71","","-0.66","","-6.66","3.29","-3.37","95.62","99.56","-3.94"
"203","Arkansas State","Sun Belt (West)","","17","15","68.4","64.6","3.81","","-3.31","","-3.67","0.29","-3.38","98.14","101.74","-3.60"
"204","North Carolina-Wilmington","CAA","","13","18","63.7","66.7","-2.97","","-0.44","","-4.19","0.78","-3.41","100.13","103.69","-3.56"
"205","Western Carolina","Southern (North)","","18","15","69.8","68.9","0.85","","-2.86","","-1.72","-1.82","-3.54","96.00","99.30","-3.30"
"206","Cornell","Ivy","","10","18","68.1","70.1","-2.00","","-1.60","","-0.25","-3.35","-3.60","101.10","105.24","-4.15"
"207","UC-Irvine","Big West","","13","19","75.3","75.6","-0.25","","-2.36","","5.13","-8.91","-3.78","100.10","104.68","-4.58"
"208","Delaware","CAA","","14","17","62.9","66.6","-3.68","","-0.11","","-4.89","1.11","-3.79","97.75","101.61","-3.86"
"209","Western Kentucky","Sun Belt (East)","","16","16","70.1","70.7","-0.66","","-3.15","","-0.34","-3.46","-3.80","98.83","102.85","-4.02"
"210","Siena","MAAC","","13","18","67.8","70.0","-2.13","","-1.71","","-0.64","-3.20","-3.83","96.93","101.20","-4.28"
"211","Pepperdine","WCC","","12","21","69.4","74.0","-4.64","","1.43","","0.83","-4.75","-3.91","101.67","106.02","-4.35"
"212","Denver","Sun Belt (West)","","13","17","60.0","60.6","-0.57","","-3.48","","-11.16","7.12","-4.04","98.12","102.40","-4.29"
"213","Lehigh","Patriot","","16","15","73.6","72.0","1.61","","-5.69","","3.27","-7.34","-4.07","98.04","103.12","-5.08"
"214","Mercer","A-Sun","","15","18","67.3","68.4","-1.15","","-2.17","","-2.25","-1.83","-4.08","97.97","102.31","-4.34"
"215","Georgia State","CAA","","12","19","61.9","64.1","-2.23","","-1.92","","-7.22","3.08","-4.15","92.86","98.06","-5.20"
"216","Virginia Military Institute","Big South","","18","13","87.9","82.1","5.84","","-5.45","","13.26","-17.49","-4.23","106.82","111.81","-4.98"
